# журнал мастера, запуск 2026-09-05 04:52:18
# время	часы	источник	событие	подробности
04:52:18	0.0	осц	/zone3/count	зона 3 сессия 38 гость  | 1
04:52:18	0.0	осц	/zone3/guest/1/state	зона 3 сессия 38 гость 1 | 1
04:52:18	0.0	track	гость 1 зоны 3: трек вернулся	
04:52:18	0.0	трекинг	ПОТОК ИДЁТ	источник sim, видно 1
04:52:18	0.0	трекинг	отчёт трекинга	источник sim | состояние идёт | видно 1 (1) | изменений за 10 с: 0
04:52:18	0.0	осц	/panel/gate	зона panel сессия  гость  | 0
04:52:18	0.0	gate	закрыт, откроется через 4 с	
04:52:19	0.0	zone	зона 4 на связи	
04:52:19	0.0	zone4	на связи	ping пошёл
04:52:19	0.0	zone	зона 1 на связи	
04:52:19	0.0	zone1	на связи	ping пошёл
04:52:19	0.0	show	проект открыт: состояние прошлого запуска сброшено	
04:52:19	0.0	настройки	загружены из settings.local.json (от 2026-09-04 18:47:34): 74 значений	
04:52:19	0.0	zone	зона 2 на связи	
04:52:19	0.0	zone2	на связи	ping пошёл
04:52:19	0.0	zone	зона 3 на связи	
04:52:19	0.0	zone3	на связи	ping пошёл
04:52:19	0.0	assign	бикон 1 -> сессия #39 гость 1	
04:52:19	0.0	session	бикон 1 появился сразу в зоне 3 — не гость группы: техсессия #39	
04:52:19	0.0	осц	/zone3/start	зона 3 сессия  гость  | 1 0 0 0 0
04:52:19	0.0	zone	старт зоны 3	
04:52:19	0.0	zone3	команда старт	сессия #39, гостей 1, промпты [0, 0, 0]
04:52:19	0.2	zone3	сцена началась	1
04:52:19	0.2	zone	зона 3 подтвердила старт	
04:52:19	0.2	осц	/panel/progress	зона panel сессия  гость  | 39 3
04:52:19	0.2	осц	/zone4/zone3started	зона 4 сессия 39 гость  | 1
04:52:19	0.2	zone	зона 4: сообщено, что зона 3 стартовала	
04:52:19	0.2	zone	зона 4 на связи	
04:52:19	0.2	zone4	на связи	ping пошёл
04:52:19	0.4	zone	зона 1 на связи	
04:52:19	0.4	zone1	на связи	ping пошёл
04:52:22	3.4	трекинг	ПОТОК ЗАМЕР (биконы видны, координаты не меняются)	источник sim, видно 1
04:52:23	4.1	осц	/panel/gate	зона panel сессия  гость  | 1
04:52:23	4.1	gate	ОТКРЫТ: все группы дошли до зоны 3	
04:52:29	10.4	трекинг	отчёт трекинга	источник sim | состояние замер | видно 1 (1) | изменений за 10 с: 0
04:52:39	20.4	трекинг	отчёт трекинга	источник sim | состояние замер | видно 1 (1) | изменений за 10 с: 0
04:52:49	30.4	трекинг	отчёт трекинга	источник sim | состояние замер | видно 1 (1) | изменений за 10 с: 0
04:52:59	40.4	трекинг	отчёт трекинга	источник sim | состояние замер | видно 1 (1) | изменений за 10 с: 0
04:53:09	50.4	трекинг	отчёт трекинга	источник sim | состояние замер | видно 1 (1) | изменений за 10 с: 0
04:53:19	60.4	трекинг	отчёт трекинга	источник sim | состояние замер | видно 1 (1) | изменений за 10 с: 0
04:53:29	70.4	трекинг	отчёт трекинга	источник sim | состояние замер | видно 1 (1) | изменений за 10 с: 0
04:53:39	80.4	трекинг	отчёт трекинга	источник sim | состояние замер | видно 1 (1) | изменений за 10 с: 0
04:53:49	90.4	трекинг	отчёт трекинга	источник sim | состояние замер | видно 1 (1) | изменений за 10 с: 0
04:53:59	100.4	трекинг	отчёт трекинга	источник sim | состояние замер | видно 1 (1) | изменений за 10 с: 0
